episode,campaign_id,epsilon,total_reward,n_steps,precision,recall,f1,avg_loss
1,cicids2017_fri_c0,0.999525,-82.70000000000002,59,0.6071428571428571,0.4857142857142857,0.5396825396825397,
2,cicids2017_wed_c1,0.99905,-29.899999999999977,45,0.3157894736842105,0.5454545454545454,0.39999999999999997,4.631278569389915
3,cicids2017_wed_c0,0.998575,-104.10000000000001,52,0.6190476190476191,0.37142857142857144,0.4642857142857143,2.7994281519608175
4,cicids2017_tue_c0,0.9981,-47.49999999999999,56,0.7857142857142857,0.6285714285714286,0.6984126984126985,2.538322673065623
5,cicids2017_tue_c0,0.997625,-41.59999999999999,55,0.7931034482758621,0.6571428571428571,0.71875,2.2608266625267333
6,cicids2017_wed_c1,0.99715,-33.099999999999994,35,0.2857142857142857,0.5454545454545454,0.37499999999999994,2.544345961267257
7,cicids2017_fri_c0,0.996675,-75.80000000000001,57,0.6428571428571429,0.5142857142857142,0.5714285714285714,2.318913261875784
8,cicids2017_wed_c0,0.9962,-94.10000000000002,54,0.6,0.42857142857142855,0.5,2.4328516063273553
9,cicids2017_fri_c0,0.995725,-78.00000000000001,57,0.6,0.5142857142857142,0.5538461538461538,2.5674751312948323
10,cicids2017_fri_c0,0.99525,-99.80000000000004,57,0.5833333333333334,0.4,0.4745762711864407,2.605041574966755
11,cicids2017_wed_c0,0.994775,-54.39999999999999,53,0.6470588235294118,0.6285714285714286,0.6376811594202899,2.663207436892101
12,cicids2017_wed_c1,0.9943,-47.09999999999999,42,0.2,0.2727272727272727,0.23076923076923075,2.5302862144910128
13,cicids2017_wed_c0,0.993825,-110.10000000000002,58,0.48148148148148145,0.37142857142857144,0.41935483870967744,2.7659198602723936
14,cicids2017_wed_c1,0.99335,-24.699999999999992,37,0.35,0.6363636363636364,0.45161290322580644,2.7988268807742664
15,cicids2017_wed_c0,0.992875,-50.79999999999998,56,0.7096774193548387,0.6285714285714286,0.6666666666666666,2.788217327477954
16,cicids2017_wed_c1,0.9924,-40.29999999999998,45,0.22727272727272727,0.45454545454545453,0.30303030303030304,2.6823290512747913
17,cicids2017_wed_c0,0.991925,-62.09999999999999,52,0.7142857142857143,0.5714285714285714,0.634920634920635,2.9117090483716797
18,cicids2017_fri_c0,0.99145,-126.10000000000002,56,0.45454545454545453,0.2857142857142857,0.3508771929824561,2.841713266686581
19,cicids2017_wed_c1,0.990975,-53.59999999999998,43,0.14285714285714285,0.2727272727272727,0.18749999999999997,2.686343991437859
20,cicids2017_tue_c0,0.9905,-89.10000000000002,55,0.5925925925925926,0.45714285714285713,0.5161290322580645,2.710012322063571
21,cicids2017_wed_c0,0.990025,-76.0,55,0.6428571428571429,0.5142857142857142,0.5714285714285714,2.761021204401501
22,cicids2017_tue_c0,0.98955,-78.0,57,0.6,0.5142857142857142,0.5538461538461538,2.8274276799348166
23,cicids2017_fri_c0,0.989075,-72.0,57,0.6129032258064516,0.5428571428571428,0.5757575757575757,2.8070417239713903
24,cicids2017_wed_c1,0.9886,-34.79999999999999,40,0.2608695652173913,0.5454545454545454,0.3529411764705882,2.8125428618316293
25,cicids2017_wed_c1,0.988125,-28.599999999999987,42,0.2916666666666667,0.6363636363636364,0.4,2.8323496394039025
