event_id,timestamp,src_ip,dst_ip,src_port,dst_port,service,tier,vantage,source_dataset,campaign_id,kill_chain_stage,attack_type,is_campaign_link,scenario,phase,event_count,predicted_attack_type,predicted_kill_chain_stage,dqn_predicted_cluster,baseline_predicted_cluster
LLS_DDOS_1.0_dmz_p1_agg_0,2000-03-07 09:51:36,202.77.162.213,MULTI(n=40),,,eco/i,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,recon,recon,True,LLS_DDOS_1.0,1,41,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_1,2000-03-07 09:51:37,202.77.162.213,MULTI(n=39),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,39,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_2,2000-03-07 09:51:38,202.77.162.213,MULTI(n=41),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,41,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_3,2000-03-07 09:51:39,202.77.162.213,MULTI(n=39),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,39,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_4,2000-03-07 09:51:40,202.77.162.213,MULTI(n=39),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,39,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_5,2000-03-07 09:51:41,202.77.162.213,MULTI(n=40),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,40,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_6,2000-03-07 09:51:42,202.77.162.213,MULTI(n=22),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,24,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_7,2000-03-07 09:51:43,202.77.162.213,MULTI(n=3),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,4,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_8,2000-03-07 09:51:49,202.77.162.213,MULTI(n=40),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,40,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_9,2000-03-07 09:51:50,202.77.162.213,MULTI(n=41),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,41,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_10,2000-03-07 09:51:51,202.77.162.213,MULTI(n=40),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,40,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_11,2000-03-07 09:51:52,202.77.162.213,MULTI(n=40),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,40,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_12,2000-03-07 09:51:53,202.77.162.213,MULTI(n=40),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,40,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_13,2000-03-07 09:51:54,202.77.162.213,MULTI(n=39),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,39,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_14,2000-03-07 09:51:55,202.77.162.213,MULTI(n=37),,,eco/i,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,recon,recon,True,LLS_DDOS_1.0,1,38,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_15,2000-03-07 09:51:56,202.77.162.213,MULTI(n=40),,,eco/i,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,recon,recon,True,LLS_DDOS_1.0,1,40,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_16,2000-03-07 09:51:57,202.77.162.213,MULTI(n=39),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,39,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_17,2000-03-07 09:51:58,202.77.162.213,MULTI(n=41),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,42,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_18,2000-03-07 09:51:59,202.77.162.213,MULTI(n=39),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,39,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_19,2000-03-07 09:52:00,202.77.162.213,MULTI(n=40),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,40,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_20,2000-03-07 09:52:01,202.77.162.213,MULTI(n=39),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,39,recon,recon,0,0
LLS_DDOS_1.0_dmz_p1_agg_21,2000-03-07 09:52:02,202.77.162.213,MULTI(n=1),,,eco/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,1,1,recon,recon,0,0
LLS_DDOS_1.0_dmz_p2_1,2000-03-07 10:07:07,202.77.162.213,172.16.115.1,645.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,0,0
LLS_DDOS_1.0_dmz_p2_2,2000-03-07 10:08:07,202.77.162.213,172.16.115.20,646.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,recon,recon,True,LLS_DDOS_1.0,2,1,recon,recon,0,0
LLS_DDOS_1.0_dmz_p2_3,2000-03-07 10:08:07,202.77.162.213,172.16.115.20,647.0,54791.0,54791/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,recon,recon,True,LLS_DDOS_1.0,2,1,recon,recon,1,0
LLS_DDOS_1.0_dmz_p2_4,2000-03-07 10:08:07,202.77.162.213,172.16.115.87,647.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,0,0
LLS_DDOS_1.0_dmz_p2_5,2000-03-07 10:10:07,202.77.162.213,172.16.114.2,649.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,2,0
LLS_DDOS_1.0_dmz_p2_6,2000-03-07 10:11:07,202.77.162.213,172.16.114.10,650.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,4,0
LLS_DDOS_1.0_dmz_p2_7,2000-03-07 10:11:07,202.77.162.213,172.16.114.10,651.0,32779.0,32779/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,4,0
LLS_DDOS_1.0_dmz_p2_8,2000-03-07 10:11:08,202.77.162.213,172.16.114.20,651.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,4,0
LLS_DDOS_1.0_dmz_p2_9,2000-03-07 10:11:08,202.77.162.213,172.16.114.20,652.0,32773.0,32773/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,4,0
LLS_DDOS_1.0_dmz_p2_10,2000-03-07 10:11:08,202.77.162.213,172.16.114.30,652.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,5,0
